STATION	STATION_NAME	DATE	TMAX	TMIN
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141007	283	139
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141006	294	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141005	294	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141004	278	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141003	267	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141002	211	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141001	194	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140930	194	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140929	172	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140928	250	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140927	211	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140926	233	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140925	228	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140924	189	156
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140923	200	156
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140922	217	161
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140921	306	156
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140920	344	150
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140919	278	167
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140918	228	161
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140917	250	161
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140916	239	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140915	322	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140914	317	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140913	317	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140912	294	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20140911	244	161
