RAILROAD,INCDTNO,HAZMAT,RRCLASS,SHORT_CAUSE,TYPE,ACCDMG
BNSF,GC1006115,,1,T,1,63718.0
UP,0706LK022,,1,M,1,37894.0
UP,0706NP009,,1,H,3,15500.0
UP,0706NP019,,1,T,1,21465.0
UP,1106HO017,,1,H,12,33600.0
UP,1106HO020,,1,M,7,7701.0
CN,530950,,1,T,1,18705.0
CN,533700,,1,E,1,11300.0
UP,0906PD007,,1,M,7,39060.0
UP,0906PD014,,1,M,7,10000.0
UP,0906PD017,,1,H,12,14672.0
UP,0906PD017,,1,H,12,14672.0
BNSF,NE1206100,Yes,1,H,1,10413.0
BNSF,NE0706122,,1,M,1,61300.0
BNSF,NE0806101,Yes,1,H,1,86115.0
UP,1106LA012,,1,T,1,32551.0
UP,1006LA045,,1,E,12,16535.0
BNSF,NE1206105,Yes,1,E,1,150689.0
BNSF,NE1206106,,1,E,12,14892.0
NS,025400,,1,E,1,15400.0
NS,027317,,1,H,1,17300.0
NS,027318,,1,H,4,31500.0
KCS,06082903,,1,H,1,64179.0
KCS,06083104,,1,H,4,34891.0
KCS,06083104,,1,H,4,34891.0
BNSF,NE1206106,,1,E,12,14892.0
BNSF,NW0106104,Yes,1,T,1,33834.0
BNSF,NW0106110,,1,M,1,9952.0
BNSF,CH0506121,,1,H,1,9675.0
UP,0906SA020,,1,T,1,36016.0
UP,0906SA023,Yes,1,T,1,93632.0
UP,0906SL002,,1,M,12,13485.0
BNSF,CH0506202,,1,M,7,29763.0
NS,024896,,1,E,1,24503.0
NS,024908,,1,H,12,11400.0
BNSF,NW0106113,Yes,1,T,1,21784.0
BNSF,NW0106119,,1,T,1,233168.0
BNSF,NW0106204,,1,M,7,157132.0
BNSF,NE1006100,,1,H,12,17281.0
BNSF,NE1006100,,1,H,12,17281.0
BNSF,NE1006102,,1,E,9,7850.0
BNSF,NE1006108,,1,T,1,1837820.0
BNSF,NE1106107,,1,T,1,164159.0
BNSF,NE1106111,,1,E,1,972671.0
BNSF,NE1006109,,1,T,1,28364.0
BNSF,NE0706103,,1,E,1,591916.0
CSX,000027812,,1,T,1,21318.0
CSX,000022330,,1,H,12,8759.0
BNSF,NE0706107,,1,E,1,38298.0
BNSF,NE0706111,,1,T,1,108546.0
BNSF,NE0706114,,1,H,1,7700.0
KCS,06091501,,1,M,12,13020.0
KCS,06041302,,1,M,1,11415.0
BNSF,NE0806101,Yes,1,H,1,86115.0
UP,1006LA045,,1,E,12,16535.0
UP,0906SL002,,1,M,12,13485.0
UP,0706PD036,,1,E,1,9691.0
UP,0706LK046,,1,H,12,23657.0
UP,0506PR009,,1,H,1,32350.0
UP,0506RS001,,1,T,1,16100.0
UP,0906SL004,,1,M,7,13069.0
BNSF,NE0506102,,1,M,13,184274.0
BNSF,NE0506113,,1,H,1,7730.0
BNSF,KS0306101,,1,H,1,10990.0
UP,0906CB011,,1,H,1,26600.0
UP,1006LK009,,1,H,1,7767.0
UP,1006LK014,,1,T,1,29658.0
UP,1106LK011,,1,T,1,8666.0
BNSF,KS0306103,,1,H,12,12132.0
BNSF,CH1006118,,1,H,6,30734.0
BNSF,NE0506116,,1,E,1,215000.0
BNSF,NW0206105,,1,T,1,977772.0
BNSF,NW0206113,Yes,1,H,1,53145.0
BNSF,KS0306119,,1,H,12,53690.0
BNSF,KS0306119,,1,H,12,53690.0
BNSF,KS0306125,,1,H,1,9555.0
BNSF,CH1006108,,1,T,1,34266.0
BNSF,CH1006116,,1,T,1,52950.0
BNSF,NE0906117,,1,T,1,42553.0
BNSF,NE0606100,,1,M,1,7722.0
BNSF,NE0606103,,1,H,12,9415.0
BNSF,NE0606103,,1,H,12,9415.0
BNSF,MT1106101,,1,M,1,10600.0
BNSF,CA0206117,Yes,1,T,1,10980.0
UP,1106WH002,,1,H,12,8026.0
BNSF,NE0706101,,1,H,1,22125.0
UP,1106HO032,,1,H,12,20595.0
BNSF,NE0606104,,1,H,1,36500.0
NS,027326,,1,M,1,20413.0
UP,1106LK012,Yes,1,T,1,18816.0
UP,1106LK019,,1,H,12,8745.0
UP,0906SL008,,1,H,12,18418.0
UP,0706PR004,,1,H,12,18675.0
UP,0706LK046,,1,H,12,23657.0
UP,0506RS002,Yes,1,T,1,87169.0
BNSF,TX0306114,Yes,1,H,12,15391.0
NS,025477,,1,M,7,73389.0
UP,0906PD023,,1,H,1,43466.0
UP,0806LV012,,1,M,7,10730.0
UP,1206HO015,,1,H,12,15119.0
UP,1206TC008,,1,T,1,24757.0
UP,1206TC011,,1,T,1,11315.0
BNSF,TC0906107,,1,T,1,225649.0
BNSF,CA0206115,,1,H,12,11053.0
BNSF,CA0206115,,1,H,12,11053.0
UP,0706PC001,,1,M,1,121768.0
UP,1106WH005,,1,T,1,41861.0
UP,1206LV015,,1,H,1,10303.0
UP,1206LV019,,1,T,1,10979.0
BNSF,GC0306119,,1,H,12,32298.0
UP,1206LV027,,1,M,7,8502.0
UP,0406DV024,,1,H,1,30691.0
UP,0206SA015,,1,H,1,23826.0
UP,1206NP003,,1,E,1,30567.0
UP,1206NP005,,1,M,7,9755.0
BNSF,CA0106133,,1,H,12,29835.0
BNSF,KS0706111,,1,H,12,21564.0
BNSF,KS0706114,Yes,1,T,1,1602600.0
BNSF,CA0106200,,1,M,7,67421.0
BNSF,CA0106202,,1,M,7,12575.0
NS,027405,,1,H,1,27168.0
UP,1206FW018,,1,T,1,1877820.0
UP,1206HO009,,1,M,7,75057.0
UP,0506PC012,Yes,1,T,1,190062.0
UP,1206HO012,,1,T,1,22589.0
BNSF,CA0106204,,1,M,7,111876.0
BNSF,CA1006120,,1,H,12,34702.0
CN,535254,,1,H,1,17500.0
CN,536654,,1,H,12,35000.0
